Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),Mileage(l/100km),Emission,Price,car_id
Volkswagen,Ameo,2017,Silver,Sedan,44611,1st,5,Diesel,45,1498,7-Speed,Automatic,109.0,250.0,4.62,BS IV,6570.0,1
Hyundai,i20,2016,Red,Crossover,20305,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,6820.0,2
Hyundai,Active,2016,Red,Crossover,20305,1st,5,Petrol,45,1197,5-Speed,Manual,82.0,115.0,5.82,BS V,6820.0,2
Honda,WR-V,2019,White,Suv,29540,2nd,5,Petrol,40,1199,5-Speed,Manual,88.5,110.0,6.06,BS IV,7930.0,3
Renault,Kwid,2017,Bronze,Hatchback,35680,1st,5,Petrol,28,999,5-Speed,Manual,67.0,91.0,4.61,BS IV,4140.0,4
Hyundai,Grand,2017,Orange,Hatchback,25126,1st,5,Petrol,43,1197,5-Speed,Manual,81.86,113.75,5.29,BS V,5150.0,5
Hyundai,i10,2017,Orange,Hatchback,25126,1st,5,Petrol,43,1197,5-Speed,Manual,81.86,113.75,5.29,BS V,5150.0,5
Hyundai,Elite,2016,Red,Hatchback,52261,1st,5,Petrol,45,1197,5-Speed,Manual,81.83,114.7,5.38,BS IV,6040.0,6
Hyundai,i20,2016,Red,Hatchback,52261,1st,5,Petrol,45,1197,5-Speed,Manual,81.83,114.7,5.38,BS IV,6040.0,6
Honda,Brio,2012,Grey,Hatchback,28108,2nd,5,Petrol,35,1198,5-Speed,Manual,86.8,109.0,5.15,BS III,3160.0,7
Tata,Harrier,2019,Grey,Suv,92603,1st,5,Diesel,50,1956,6-Speed,Automatic,138.0,350.0,5.88,BS IV,14190.0,8
Hyundai,Grand,2021,Blue,Hatchback,16304,1st,5,Petrol,37,1197,5-Speed,Manual,81.86,113.75,4.98,BS IV,7100.0,9
Hyundai,i10,2021,Blue,Hatchback,16304,1st,5,Petrol,37,1197,5-Speed,Manual,81.86,113.75,4.98,BS IV,7100.0,9
Hyundai,Nios,2021,Blue,Hatchback,16304,1st,5,Petrol,37,1197,5-Speed,Manual,81.86,113.75,4.98,BS IV,7100.0,9
Renault,Kwid,2019,Bronze,Hatchback,26350,2nd,5,Petrol,28,999,5-Speed,Manual,67.0,91.0,4.55,BS IV,3920.0,10
Renault,Triber,2020,Yellow,Muv,35400,1st,7,Petrol,40,999,5-Speed,Manual,71.0,96.0,5.0,BS IV,6130.0,11
Chevrolet,Cruze,2013,White,Sedan,71450,1st,5,Diesel,60,1991,6-Speed,Automatic,164.0,380.0,5.88,BS IV,5980.0,12
Hyundai,Venue,2019,Grey,Suv,32395,1st,5,Petrol,45,998,7-Speed,Automatic,118.35,171.6,5.51,BS V,9690.0,13
Tata,Safari,2021,Grey,Suv,15059,1st,7,Diesel,50,1956,6-Speed,Automatic,167.67,350.0,5.88,BS IV,21000.0,14
